Species        ,csome_low,csome_high,N  ,Isolate  ,Location      ,Country     ,Reproduction,Reference                                                                                                                                                                                                                                                                                                                  
M. incognita   ,35       ,38        ,1  ,Let50    ,Mica          ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. incognita   ,35       ,39        ,1  ,PShep16  ,Urnzumbe      ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. incognita   ,34       ,36        ,1  ,PShep18  ,Port Edward   ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. incognita   ,36       ,38        ,1  ,PShep25  ,Seapark       ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. incognita   ,34       ,36        ,1  ,Wbm36    ,Kameeldrift   ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. incognita   ,34       ,36        ,1  ,Wbm37    ,Pyramid       ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. izalcoensis ,44       ,48        ,1  ,EstSA4   ,Izalco        ,El Salvador ,apomixis    ,"Carneiro RMDG, Almeida MRA, Gomes ACMM, Hernandez A: Meloidogyne izalcoensis n. sp. (Nematoda: Meloidogynidae), a root-knot nematode parasitising coffee in El Salvador. Nematology 2005, 7:819–832."                                                                                                                     
M. javanica    ,42       ,48        ,126,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. javanica    ,43       ,46        ,1  ,Erm3     ,Ermelo        ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. javanica    ,41       ,44        ,1  ,Erm5     ,Ermelo        ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. javanica    ,42       ,45        ,1  ,Ell3     ,Elliot        ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. javanica    ,46       ,49        ,1  ,Gord3    ,Upington      ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
